时间,创意名称,创意ID,笔记ID,单元名称,单元ID,计划名称,计划ID,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,点赞,评论,收藏,关注,分享,互动量,平均互动成本,行动按钮点击量,行动按钮点击率,截图,保存图片,加入购物车次数,立即购买次数,下单订单数,成交订单数,点击转化率,rGMV,投入产出比,进店访问量,表单数,平均表单收集成本,落地页访问量,表单按钮曝光量,有效表单数,有效表单平均成本,表单转化率,私信咨询人数,私信咨询条数,私信咨询数,平均位次,首位曝光排名,首位曝光占比,前三位曝光排名,前三位曝光占比,首位点击排名,首位点击占比,前三位点击排名,前三位点击占比
2022-09-01,0822-搜索-儿童洗发-0cec-品类词,18601890,62fc82440000000008010cec,0822-搜索-儿童洗发-0cec-品类词,3848559,0822-搜索-儿童洗发-0cec-品类词,3233607,2.31,68,2,2.94%,1.16,33.97,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0822-搜索-儿童洗发-4c57-品类词,18601956,62fe7a0b000000001b024c57,0822-搜索-儿童洗发-4c57-品类词,3848590,0822-搜索-儿童洗发-4c57-品类词,3233638,8.99,248,7,2.82%,1.28,36.25,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0824-搜索-儿童面霜-be3f-品类词,18680608,62fb6e8d000000000f01be3f,0824-搜索-儿童面霜-be3f-品类词,3887867,0824-搜索-儿童面霜-be3f-品类词,3272675,41.12,418,15,3.59%,2.74,98.37,0,0,0,0,0,0,0.0,1,6.67%,0,0,0,0,0,0,0.0%,0.0,0.0,1,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0824商卡-儿童面霜-5407-品牌词,18680789,,0824商卡-儿童面霜-5407-品牌词,3887946,0824商卡-儿童面霜-5407-品牌词,3272789,82.86,854,40,4.68%,2.07,97.03,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,43,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0824-搜索-儿童面霜-7f75-品类词,18681381,63043716000000001b007f75,0824-搜索-儿童面霜-7f75-品类词,3888141,0824-搜索-儿童面霜-7f75-品类词,3272978,16.08,120,5,4.17%,3.22,134.0,0,0,0,0,0,0,0.0,0,0.0%,1,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0824-搜索-儿童面霜-8ad7-品类词,18682158,63032bb10000000019028ad7,0824-搜索-儿童面霜-8ad7-品类词,3888506,0824-搜索-儿童面霜-8ad7-品类词,3273355,129.13,7445,88,1.18%,1.47,17.34,0,0,0,0,0,0,0.0,2,2.27%,0,0,1,0,0,0,0.0%,0.0,0.0,4,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0824-搜索-儿童洗发-234d-品类词,18687278,6300be70000000001b02234d,0824-搜索-儿童洗发-234d-品类词,3890828,0824-搜索-儿童洗发-234d-品类词,3275720,30.18,475,21,4.42%,1.44,63.54,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-ca72- 品类词,18831634,63059a17000000001800ca72,0827-搜索-儿童面霜蓝甘菊-ca72- 品类词,3934855,0827-搜索-儿童面霜蓝甘菊-ca72- 品类词,3319870,62.95,510,20,3.92%,3.15,123.43,0,0,0,0,0,0,0.0,0,0.0%,1,1,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-ea1e-品类词,18831684,63031a7f000000001800ea1e,0827-搜索-儿童面霜蓝甘菊-ea1e-品类词,3955638,0827-搜索-儿童面霜蓝甘菊-ea1e- 品类词,3340351,9.36,165,3,1.82%,3.12,56.73,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-7cd7-品类词,18832037,6304a138000000001b007cd7,0827-搜索-儿童面霜蓝甘菊-7cd7-品类词,3955776,0827-搜索-儿童面霜蓝甘菊-7cd7-品类词,3340484,60.71,403,21,5.21%,2.89,150.65,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-0c1d-品类词,18832062,6305d87c000000001b020c1d,0827-搜索-儿童面霜蓝甘菊-0c1d-品类词,3955728,0827-搜索-儿童面霜蓝甘菊-0c1d-品类词,3340440,6.23,109,2,1.83%,3.12,57.16,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-ec48-品类词,18832278,6305e86b000000001800ec48,0827-搜索-儿童面霜蓝甘菊-ec48-品类词,3955987,0827-搜索-儿童面霜蓝甘菊-ec48-品类词,3340697,25.96,263,8,3.04%,3.24,98.71,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-7cea-品类词,18832360,6303343e000000001b007cea,0827-搜索-儿童面霜蓝甘菊-7cea-品类词,3956023,0827-搜索-儿童面霜蓝甘菊-7cea-品类词,3340737,9.89,189,3,1.59%,3.3,52.33,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-e139-品类词,18832394,6305f5ea000000001702e139,0827-搜索-儿童面霜蓝甘菊-e139-品类词,3956046,0827-搜索-儿童面霜蓝甘菊-e139-品类词,3340759,34.79,317,11,3.47%,3.16,109.75,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-7dff-品类词,18832454,6305de12000000001d037dff,0827-搜索-儿童面霜蓝甘菊-7dff-品类词,3956071,0827-搜索-儿童面霜蓝甘菊-7dff-品类词,3340778,100.25,498,34,6.83%,2.95,201.31,0,0,0,0,0,0,0.0,1,2.94%,0,0,0,0,0,0,0.0%,0.0,0.0,4,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
2022-09-01,0827-搜索-儿童面霜蓝甘菊-ad55-品类词,18832662,6305e4f5000000001b01ad55,0827-搜索-儿童面霜蓝甘菊-ad55-品类词,3956173,0827-搜索-儿童面霜蓝甘菊-ad55-品类词,3340889,12.5,128,4,3.12%,3.12,97.66,0,0,0,0,0,0,0.0,0,0.0%,0,0,0,0,0,0,0.0%,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0%,0,0,0,-,-,-,-,-,-,-,-,-
